id,name,categoryId,syncId,tenant_id,category_name
ba6426dc-fa83-41b8-8b74-5045542733c1,SanPa,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
88841e47-1dca-4b90-a700-7bc9bc0d1c94,Santa Barbara Femenino,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
ca2f3d95-4ab8-4f5c-a8d3-18a192490592,Segunda Linea,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
0609eabd-cef7-4e8a-b1e2-4d885a811ea6,Sesion 1,83a00bde-14e5-4d67-8fd4-6011b6118fa8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Proyecto Crossfit
0915402d-7ee8-4975-ae91-9f27d76aabe1,Sub 20,f6093938-5d89-44d4-b0fa-48c30423b0b6,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,fuerzas basicas
2b3808c4-f6e7-4d8e-8b52-23dd38907069,Sub 23,f6093938-5d89-44d4-b0fa-48c30423b0b6,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,fuerzas basicas
f1448cb9-cff4-405e-861d-7ce21a433b35,Sub17,58734421-a5ed-420c-a9d5-26c5b0eda5d4,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Categorias
e3c56d3b-525d-4eaa-b76d-745ea2f822c4,Sup. Mariano Moreno,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
c4b9b04e-76f6-490c-a329-c59b774cd8f9,Tenis,04504bd3-f686-4dce-8361-968f01c75a01,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Esportes
66e00ca0-d19f-4831-84db-540207d4d42f,Tercera Linea,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
be97272d-512b-4901-8cbc-4f1b23177940,Test,f021a645-f179-49bd-9181-30a433c19672,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Test
dbcbc648-a4ad-4b89-9b65-539c80ec1045,Tigre,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
9d88e906-7fbf-4bf2-adbd-8d259dfd871e,Titulares,445ef65d-2857-48ff-b911-e6b658c74ba6,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Condicion
354d4057-a5ba-4955-8e7b-db85490deff1,Training,00031b91-0b46-445e-ab45-40fe3b4964c7,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Vald CSM
87de5bc3-6268-4822-a9d9-b189b3bbb5ca,TSEAS1RO,0c95ced6-ca03-460f-bd3d-abefb73b2c78,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CARRERA
4e5cb14e-b10a-4c91-867b-5c0bb4616cd4,TSEAS2D0,0c95ced6-ca03-460f-bd3d-abefb73b2c78,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CARRERA
448d5015-1620-4c6e-bcc5-cf573f06bdc8,UAR,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
3f4ca01d-bbdb-485b-b9db-fa2a0f16c1f3,UAR Juveniles,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
49767dec-79db-498f-acf9-b07b1092e2ea,Velez 4ta,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
65bf5f95-fa5a-4ff3-9e95-dfeed9f5af81,Velez 5ta,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
1a5f8aee-4cb2-41f7-abfd-06dcde6d6721,Velez 6ta,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
04f8f2b4-39dd-4dec-8131-d04f20aea0c0,Velez 7ma,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
9f98fb01-0cbe-4ed6-9e3b-b78b37c91097,Velez 8va,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
228d7637-5e50-4491-adb0-745fbcedd0d8,Velez 9na,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
6d04667e-5dc9-4172-8281-5b7da1c669a7,Wing,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
754e1fad-e057-4999-bac0-3b0b9a20afbc,Yes,8a53265b-a484-4fbb-9ae0-64e1a0daf47f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,HSI
